"UnitCode","UnitName","long","lat","ppt","tmax","tmin","tmean","year","month"
"ACAD","Acadia National Park",-68.26019,44.376559,83.26953125,24.919921875,12.5400390625,18.73046875,1908,7
"ACAD","Acadia National Park",-68.26019,44.376559,66.0498046875,21.900390625,10.830078125,16.3701171875,1908,8
"ACAD","Acadia National Park",-68.26019,44.376559,50.8095703125,21.650390625,8.6904296875,15.169921875,1908,9
"ACAD","Acadia National Park",-68.26019,44.376559,141.7001953125,16.0703125,3.2998046875,9.6904296875,1908,10
"ACAD","Acadia National Park",-68.26019,44.376559,47.3896484375,6.4501953125,-1.08984375,2.6796875,1908,11
"ACAD","Acadia National Park",-68.26019,44.376559,142.7900390625,0.849609375,-9.740234375,-4.4501953125,1908,12
"ACAD","Acadia National Park",-68.26019,44.376559,184.8095703125,-0.1904296875,-11.6103515625,-5.900390625,1909,1
"ACAD","Acadia National Park",-68.26019,44.376559,160.8701171875,-0.0595703125,-11.7802734375,-5.919921875,1909,2
"ACAD","Acadia National Park",-68.26019,44.376559,152.3701171875,3.740234375,-5.9599609375,-1.1103515625,1909,3
"ACAD","Acadia National Park",-68.26019,44.376559,133.169921875,8.259765625,-0.8896484375,3.6904296875,1909,4
"ACAD","Acadia National Park",-68.26019,44.376559,112.51953125,14.0703125,4.6796875,9.3798828125,1909,5
"ACAD","Acadia National Park",-68.26019,44.376559,32.7802734375,21.76953125,9.330078125,15.5498046875,1909,6
"ACAD","Acadia National Park",-68.26019,44.376559,63.9501953125,22.900390625,12.150390625,17.5302734375,1909,7
"ACAD","Acadia National Park",-68.26019,44.376559,42.4697265625,23.7802734375,10.8095703125,17.2998046875,1909,8
"ACAD","Acadia National Park",-68.26019,44.376559,204.16015625,19.259765625,8.3701171875,13.8203125,1909,9
"ACAD","Acadia National Park",-68.26019,44.376559,48,13.759765625,4.8095703125,9.2900390625,1909,10
"ACAD","Acadia National Park",-68.26019,44.376559,157.509765625,9.23046875,-0.23046875,4.5,1909,11
"ACAD","Acadia National Park",-68.26019,44.376559,52.8701171875,-0.4697265625,-7.7802734375,-4.1298828125,1909,12
"ACAD","Acadia National Park",-68.26019,44.376559,89.650390625,0.91015625,-7.91015625,-3.5,1910,1
"ACAD","Acadia National Park",-68.26019,44.376559,139.83984375,-0.1103515625,-11.759765625,-5.9404296875,1910,2
"ACAD","Acadia National Park",-68.26019,44.376559,78.2001953125,6.849609375,-3.23046875,1.8095703125,1910,3
"ACAD","Acadia National Park",-68.26019,44.376559,136.0400390625,11.400390625,1.83984375,6.6201171875,1910,4
"ACAD","Acadia National Park",-68.26019,44.376559,49.9599609375,15.349609375,3.599609375,9.48046875,1910,5
"ACAD","Acadia National Park",-68.26019,44.376559,92.58984375,19.1904296875,8.8798828125,14.0400390625,1910,6
"ACAD","Acadia National Park",-68.26019,44.376559,37.169921875,24.6904296875,13.3603515625,19.0302734375,1910,7
"ACAD","Acadia National Park",-68.26019,44.376559,81.009765625,22.41015625,11.2900390625,16.849609375,1910,8
"ACAD","Acadia National Park",-68.26019,44.376559,65.8701171875,19.009765625,7,13.009765625,1910,9
"ACAD","Acadia National Park",-68.26019,44.376559,52.9296875,14.08984375,3.2802734375,8.6904296875,1910,10
"ACAD","Acadia National Park",-68.26019,44.376559,49.5498046875,5.9599609375,-1.1904296875,2.3896484375,1910,11
"ACAD","Acadia National Park",-68.26019,44.376559,99.490234375,-1.2001953125,-11.4296875,-6.3203125,1910,12
"ACAD","Acadia National Park",-68.26019,44.376559,110.7197265625,-0.3603515625,-11.1103515625,-5.740234375,1911,1
"ACAD","Acadia National Park",-68.26019,44.376559,103.4296875,-3.0400390625,-15.7197265625,-9.3798828125,1911,2
"ACAD","Acadia National Park",-68.26019,44.376559,116.2802734375,2.330078125,-8.0703125,-2.8701171875,1911,3
"ACAD","Acadia National Park",-68.26019,44.376559,43.650390625,10.259765625,-2.2998046875,3.98046875,1911,4
"ACAD","Acadia National Park",-68.26019,44.376559,3.099609375,18.490234375,5.91015625,12.2001953125,1911,5
"ACAD","Acadia National Park",-68.26019,44.376559,89.9296875,20.2802734375,9.3203125,14.7998046875,1911,6
"ACAD","Acadia National Park",-68.26019,44.376559,107.1396484375,25.4404296875,13.9404296875,19.6904296875,1911,7
"ACAD","Acadia National Park",-68.26019,44.376559,59.0498046875,22.0498046875,12.5498046875,17.2998046875,1911,8
"ACAD","Acadia National Park",-68.26019,44.376559,130.169921875,17.7197265625,7.2001953125,12.4599609375,1911,9
