"UnitCode","long","lat","tmean.max","year","tmean.max.ym","tmax.max","tmax.max.ym","tmean.min","tmean.min.ym","tmin.min","tmin.min.ym","ppt.max","ppt.max.ym","ppt.min","ppt.min.ym"
"ACAD",-68.26019,44.376559,18.0595703125,1933,1933-08-01,22.73046875,1933-07-01,-9.080078125,1933-12-01,-13.73046875,1933-12-01,157.580078125,1933-04-01,55.7998046875,1933-05-01
"ACAD",-68.26019,44.376559,18.9599609375,1934,1934-07-01,24.5,1934-07-01,-11.2197265625,1934-02-01,-18.01953125,1934-02-01,228.2197265625,1934-09-01,44.099609375,1934-08-01
"ACAD",-68.26019,44.376559,20.4296875,1935,1935-07-01,25.7197265625,1935-07-01,-9.0498046875,1935-01-01,-14.599609375,1935-01-01,250.75,1935-01-01,27,1935-10-01
"ACAD",-68.26019,44.376559,17.66015625,1936,1936-08-01,22.650390625,1936-08-01,-8.2900390625,1936-02-01,-13.830078125,1936-02-01,239.9404296875,1936-12-01,43.669921875,1936-07-01
"ACAD",-68.26019,44.376559,21.1103515625,1937,1937-08-01,26.3603515625,1937-08-01,-3.3701171875,1937-12-01,-8.8701171875,1937-12-01,180.0595703125,1937-11-01,34.5595703125,1937-08-01
"ACAD",-68.26019,44.376559,20.1201171875,1938,1938-08-01,25.099609375,1938-08-01,-6.2900390625,1938-01-01,-12.2197265625,1938-01-01,166.4697265625,1938-09-01,60.3798828125,1938-03-01
"ACAD",-68.26019,44.376559,20.4501953125,1939,1939-08-01,25.669921875,1939-08-01,-7.2998046875,1939-01-01,-13,1939-01-01,137.01953125,1939-03-01,21.5302734375,1939-11-01
"ACAD",-68.26019,44.376559,19.650390625,1940,1940-07-01,24.8603515625,1940-07-01,-8.1796875,1940-01-01,-13.6904296875,1940-01-01,162.990234375,1940-04-01,15.1904296875,1940-10-01
"ACAD",-68.26019,44.376559,19.669921875,1941,1941-07-01,25.1103515625,1941-07-01,-7.2001953125,1941-01-01,-11.4501953125,1941-01-01,120.8603515625,1941-03-01,24.5,1941-06-01
"ACAD",-68.26019,44.376559,18.759765625,1942,1942-07-01,23.7900390625,1942-07-01,-5.73046875,1942-12-01,-10.740234375,1942-01-01,188.7998046875,1942-06-01,58.3798828125,1942-08-01
"ACAD",-68.26019,44.376559,19.2998046875,1943,1943-07-01,24.5400390625,1943-07-01,-8.25,1943-01-01,-12.7001953125,1943-01-01,220.2099609375,1943-08-01,28.48046875,1943-12-01
"ACAD",-68.26019,44.376559,20.0703125,1944,1944-08-01,26.1103515625,1944-08-01,-5.759765625,1944-02-01,-11.3701171875,1944-02-01,183.580078125,1944-11-01,14.1298828125,1944-01-01
"ACAD",-68.26019,44.376559,18.099609375,1945,1945-07-01,23.650390625,1945-08-01,-7.7197265625,1945-01-01,-13.349609375,1945-01-01,247.25,1945-05-01,45.01953125,1945-08-01
"ACAD",-68.26019,44.376559,17.580078125,1946,1946-07-01,23.330078125,1946-07-01,-7.8603515625,1946-02-01,-14.3798828125,1946-02-01,148.169921875,1946-12-01,30.5595703125,1946-06-01
"ACAD",-68.26019,44.376559,20.2900390625,1947,1947-07-01,25.3798828125,1947-07-01,-5.7001953125,1947-01-01,-11.1796875,1947-01-01,203.240234375,1947-05-01,2.759765625,1947-10-01
"ACAD",-68.26019,44.376559,18.669921875,1948,1948-07-01,25.0302734375,1948-07-01,-8.08984375,1948-01-01,-14.2802734375,1948-02-01,199.349609375,1948-05-01,22.5595703125,1948-08-01
"ACAD",-68.26019,44.376559,20.0703125,1949,1949-07-01,25.7802734375,1949-07-01,-3.509765625,1949-02-01,-8.8095703125,1949-02-01,135.2099609375,1949-11-01,17.1396484375,1949-08-01
"ACAD",-68.26019,44.376559,18.4296875,1950,1950-07-01,23.4599609375,1950-07-01,-7.0302734375,1950-02-01,-12.9404296875,1950-02-01,259.1201171875,1950-11-01,22.9296875,1950-05-01
"ACAD",-68.26019,44.376559,19.3095703125,1951,1951-07-01,24.3095703125,1951-07-01,-3.240234375,1951-02-01,-8.849609375,1951-02-01,252.2197265625,1951-11-01,58.08984375,1951-06-01
"ACAD",-68.26019,44.376559,21.01953125,1952,1952-07-01,27.3798828125,1952-07-01,-4.400390625,1952-01-01,-10.1396484375,1952-01-01,207.830078125,1952-01-01,4.990234375,1952-07-01
"ACAD",-68.26019,44.376559,19.0498046875,1953,1953-07-01,24.5595703125,1953-07-01,-3.009765625,1953-02-01,-8.25,1953-02-01,267.4697265625,1953-03-01,44.5,1953-06-01
"ACAD",-68.26019,44.376559,18.0302734375,1954,1954-07-01,22.990234375,1954-07-01,-6.8603515625,1954-01-01,-12.1904296875,1954-01-01,182.099609375,1954-09-01,61.9404296875,1954-07-01
"ACAD",-68.26019,44.376559,19.6904296875,1955,1955-07-01,25.91015625,1955-07-01,-7.25,1955-12-01,-11.5498046875,1955-12-01,173.900390625,1955-11-01,24.33984375,1955-12-01
"ACAD",-68.26019,44.376559,17.2998046875,1956,1956-07-01,22.419921875,1956-07-01,-4.9697265625,1956-02-01,-10.5595703125,1956-02-01,198.7900390625,1956-01-01,58.16015625,1956-06-01
"ACAD",-68.26019,44.376559,18.41015625,1957,1957-07-01,23.2998046875,1957-07-01,-9.76953125,1957-01-01,-15.7802734375,1957-01-01,154.1904296875,1957-12-01,36.6796875,1957-09-01
"ACAD",-68.26019,44.376559,17.9599609375,1958,1958-08-01,22.5400390625,1958-08-01,-7.919921875,1958-12-01,-13.0703125,1958-12-01,267.01953125,1958-01-01,77.080078125,1958-12-01
