"unit.code","long","lat","tmean.max","year","tmean.max.date","tmax.max","tmax.max.date","tmean.min","tmean.min.date","tmin.min","tmin.min.date"
"ACAD",-68.26019,44.376559,26.2421875,2013,"2013-07-06",33.640625,"2013-07-16",-16.3671875,"2013-01-24",-23.453125,"2013-12-17"
"ACAD",-68.26019,44.376559,23.296875,2014,"2014-07-02",29.828125,"2014-06-30",-20.2890625,"2014-01-04",-24.7265625,"2014-01-04"
"ACAD",-68.26019,44.376559,23.859375,2015,"2015-08-19",30.2265625,"2015-08-19",-18.390625,"2015-02-14",-27.2734375,"2015-02-14"
"ACAD",-68.26019,44.376559,24.78125,2016,"2016-07-16",31.890625,"2016-09-10",-17.3984375,"2016-12-17",-23.171875,"2016-12-17"
"ACAD",-68.26019,44.376559,24.0234375,2017,"2017-06-13",32.3828125,"2017-05-19",-19.4609375,"2017-12-30",-24,"2017-12-30"
"ACAD",-68.26019,44.376559,27.046875,2018,"2018-08-08",33.078125,"2018-08-08",-19.40625,"2018-01-07",-21.703125,"2018-01-02"
"ACAD",-68.26019,44.376559,25.390625,2019,"2019-07-22",33.3203125,"2019-07-21",-12.7890625,"2019-01-22",-17.890625,"2019-03-08"
"ACAD",-68.26019,44.376559,25.390625,2019,"2019-07-31",33.3203125,"2019-07-21",-12.7890625,"2019-01-22",-17.890625,"2019-03-08"
"ACAD",-68.26019,44.376559,26.578125,2020,"2020-07-29",32.65625,"2020-07-29",-13.796875,"2020-02-15",-18.6875,"2020-02-15"
"ACAD",-68.26019,44.376559,26.5,2021,"2021-06-30",32.9765625,"2021-06-30",-10.9765625,"2021-01-31",-15.6328125,"2021-02-13"
"ACAD",-68.26019,44.376559,25.46875,2022,"2022-08-08",32.421875,"2022-07-24",-16.4765625,"2022-01-12",-21.9921875,"2022-01-28"
"ACAD",-68.26019,44.376559,23.84375,2023,"2023-07-29",30.9765625,"2023-06-02",-19.5703125,"2023-02-05",-26.2890625,"2023-02-04"
"ACAD",-68.26019,44.376559,27.2421875,2024,"2024-06-21",34.7421875,"2024-06-21",-9.59375,"2024-01-21",-13.9375,"2024-01-31"
