"year","month","noaa.year.month","noaa.anom","mcfarland.year.month","mcfarland.anom"
1920,6,1920-06-01,-0.414347956730769,NA,NA
1920,7,1920-07-01,-0.125067608173076,NA,NA
1920,8,1920-08-01,1.08384164663461,NA,NA
1920,9,1920-09-01,0.0367989946705425,NA,NA
1920,10,1920-10-01,2.37886839874031,NA,NA
1920,11,1920-11-01,-2.29613311531008,NA,NA
1920,12,1920-12-01,0.569388929263566,NA,NA
1921,1,1921-01-01,0.932992788461538,NA,NA
1921,2,1921-02-01,0.445680588942308,NA,NA
1921,3,1921-03-01,2.92016225961538,NA,NA
1921,4,1921-04-01,1.98321814903846,NA,NA
1921,5,1921-05-01,0.794884314903847,NA,NA
1921,6,1921-06-01,0.105183293269231,NA,NA
1921,7,1921-07-01,1.77434645432692,NA,NA
1921,8,1921-08-01,-1.06654897836539,NA,NA
1921,9,1921-09-01,1.28679899467054,NA,NA
1921,10,1921-10-01,0.248985586240311,NA,NA
1921,11,1921-11-01,-3.27660186531008,NA,NA
1921,12,1921-12-01,-1.68061107073643,NA,NA
1922,1,1922-01-01,-2.55724158653846,NA,NA
1922,2,1922-02-01,-1.11388972355769,NA,NA
1922,3,1922-03-01,1.07055288461538,NA,NA
1922,4,1922-04-01,0.242983774038461,NA,NA
1922,5,1922-05-01,0.694298377403847,NA,NA
1922,6,1922-06-01,0.845417668269231,NA,NA
1922,7,1922-07-01,-0.625067608173076,NA,NA
1922,8,1922-08-01,-0.216939603365386,NA,NA
1922,9,1922-09-01,-0.203435380329458,NA,NA
1922,10,1922-10-01,-0.651405038759689,NA,NA
1922,11,1922-11-01,-0.986562802810078,NA,NA
1922,12,1922-12-01,-3.86029857073643,NA,NA
1923,1,1923-01-01,-3.37755408653846,NA,NA
1923,2,1923-02-01,-5.62365534855769,NA,NA
1923,3,1923-03-01,-5.06909555288462,NA,NA
1923,4,1923-04-01,-2.28728966346154,NA,NA
1923,5,1923-05-01,-0.754920372596153,NA,NA
1923,6,1923-06-01,0.114948918269231,NA,NA
1923,7,1923-07-01,-1.60553635817308,NA,NA
1923,8,1923-08-01,-2.35658804086539,NA,NA
1923,9,1923-09-01,-0.303044755329458,NA,NA
1923,10,1923-10-01,0.148399648740311,NA,NA
1923,11,1923-11-01,0.282968447189922,NA,NA
1923,12,1923-12-01,3.44927174176357,NA,NA
1924,1,1924-01-01,0.232797475961538,NA,NA
1924,2,1924-02-01,-3.23400691105769,NA,NA
1924,3,1924-03-01,0.920162259615385,NA,NA
1924,4,1924-04-01,-1.34685997596154,NA,NA
1924,5,1924-05-01,-1.18558443509615,NA,NA
1924,6,1924-06-01,-0.994426081730769,NA,NA
1924,7,1924-07-01,0.234307391826924,NA,NA
1924,8,1924-08-01,-0.476705228365386,NA,NA
1924,9,1924-09-01,-0.783513505329458,NA,NA
1924,10,1924-10-01,0.409141836240311,NA,NA
1924,11,1924-11-01,-0.396719052810078,NA,NA
1924,12,1924-12-01,-3.54096263323643,NA,NA
1925,1,1925-01-01,-4.60704627403846,NA,NA
1925,2,1925-02-01,3.36560246394231,NA,NA
1925,3,1925-03-01,1.22094350961538,NA,NA
1925,4,1925-04-01,0.313296274038461,NA,NA
1925,5,1925-05-01,-1.44535006009615,NA,NA
1925,6,1925-06-01,0.324909855769231,NA,NA
1925,7,1925-07-01,-0.815497295673076,NA,NA
1925,8,1925-08-01,-0.116353665865386,NA,NA
1925,9,1925-09-01,-1.32355256782946,NA,NA
1925,10,1925-10-01,-4.25101441375969,NA,NA
1925,11,1925-11-01,-0.946523740310078,NA,NA
1925,12,1925-12-01,-1.60053294573643,NA,NA
1926,1,1926-01-01,-1.48790564903846,NA,NA
1926,2,1926-02-01,-2.08361628605769,NA,NA
1926,3,1926-03-01,-4.41968149038462,NA,NA
1926,4,1926-04-01,-3.56658653846154,NA,NA
1926,5,1926-05-01,-1.74515474759615,NA,NA
1926,6,1926-06-01,-1.14481670673077,NA,NA
1926,7,1926-07-01,-0.925848858173076,NA,NA
1926,8,1926-08-01,-1.07631460336539,NA,NA
1926,9,1926-09-01,-0.722966630329458,NA,NA
1926,10,1926-10-01,-0.901405038759689,NA,NA
1926,11,1926-11-01,0.333749697189922,NA,NA
1926,12,1926-12-01,-2.33100169573643,NA,NA
1927,1,1927-01-01,1.47303185096154,NA,NA
1927,2,1927-02-01,-0.714475661057692,NA,NA
1927,3,1927-03-01,1.22094350961538,NA,NA
1927,4,1927-04-01,0.483218149038461,NA,NA
1927,5,1927-05-01,-2.16507662259615,NA,NA
1927,6,1927-06-01,-1.59501201923077,NA,NA
1927,7,1927-07-01,-0.885809795673076,NA,NA
1927,8,1927-08-01,-2.30678335336539,NA,NA
1927,9,1927-09-01,-0.103826005329458,NA,NA
1927,10,1927-10-01,1.19918089874031,NA,NA
1927,11,1927-11-01,1.80347625968992,NA,NA
1927,12,1927-12-01,0.749076429263566,NA,NA
1928,1,1928-01-01,-0.0377103365384617,NA,NA
1928,2,1928-02-01,-1.01428034855769,NA,NA
1928,3,1928-03-01,-1.41968149038462,NA,NA
1928,4,1928-04-01,-1.40740685096154,NA,NA
1928,5,1928-05-01,-1.45511568509615,NA,NA
1928,6,1928-06-01,-1.72489483173077,NA,NA
1928,7,1928-07-01,-0.205145733173076,NA,NA
1928,8,1928-08-01,-0.297017728365386,NA,NA
1928,9,1928-09-01,-1.92316194282946,NA,NA
1928,10,1928-10-01,-0.731483163759689,NA,NA
1928,11,1928-11-01,-0.717031552810078,NA,NA
1928,12,1928-12-01,2.19927174176357,NA,NA
1929,1,1929-01-01,0.102914663461538,NA,NA
1929,2,1929-02-01,-0.413694411057692,NA,NA
1929,3,1929-03-01,0.750240384615385,NA,NA
1929,4,1929-04-01,-0.877133413461539,NA,NA
1929,5,1929-05-01,0.245079627403847,NA,NA
1929,6,1929-06-01,-0.264933894230769,NA,NA
1929,7,1929-07-01,-0.855536358173076,NA,NA
1929,8,1929-08-01,-1.94643179086539,NA,NA
1929,9,1929-09-01,-0.143865067829458,NA,NA
1929,10,1929-10-01,-0.871131601259689,NA,NA
