"year","month","noaa.year.month","noaa.precip.anom","noaa.percent.precip.anom","mcfarland.year.month","mcfarland.precip.anom","mcfarland.percent.precip.anom"
1914,7,1914-07-01,-14.3577298677885,-17.4629833462633,NA,NA,NA
1914,8,1914-08-01,1.43158804086538,1.77312061431237,NA,NA,NA
1914,9,1914-09-01,-55.950558684593,-54.6815765315454,NA,NA,NA
1914,10,1914-10-01,-25.5677007630814,-21.6974722897794,NA,NA,NA
1914,11,1914-11-01,-48.8813817223837,-36.2161501840889,NA,NA,NA
1914,12,1914-12-01,-72.9731558866279,-59.51985910048,NA,NA,NA
1915,1,1915-01-01,1.92915414663462,1.70118027169043,NA,NA,NA
1915,2,1915-02-01,-10.1738206129808,-10.5205686614156,NA,NA,NA
1915,3,1915-03-01,-103.155746694712,-90.7140299210261,NA,NA,NA
1915,4,1915-04-01,-10.3341947115385,-9.70763375121849,NA,NA,NA
1915,5,1915-05-01,19.82568359375,20.5417355978165,NA,NA,NA
1915,6,1915-06-01,-15.8175480769231,-17.7890842782233,NA,NA,NA
1915,7,1915-07-01,103.461606069712,125.83802038416,NA,NA,NA
1915,8,1915-08-01,19.3515099158654,23.9681809084893,NA,NA,NA
1915,9,1915-09-01,-63.190793059593,-61.7575993522417,NA,NA,NA
1915,10,1915-10-01,-56.8177007630814,-48.2171040446486,NA,NA,NA
1915,11,1915-11-01,-19.5112645348837,-14.4558697356392,NA,NA,NA
1915,12,1915-12-01,-8.82276526162791,-7.19620439692305,NA,NA,NA
1916,1,1916-01-01,-61.5005333533654,-54.2328326752421,NA,NA,NA
1916,2,1916-02-01,-2.80370342548076,-2.89926031882083,NA,NA,NA
1916,3,1916-03-01,-4.79539513221154,-4.21701777598477,NA,NA,NA
1916,4,1916-04-01,-4.02462439903846,-3.78061191439143,NA,NA,NA
1916,5,1916-05-01,5.40576171875,5.60100373872438,NA,NA,NA
1916,6,1916-06-01,43.0330378605769,48.396776385755,NA,NA,NA
1916,7,1916-07-01,40.8522310697115,49.6876482144011,NA,NA,NA
1916,8,1916-08-01,-19.6182166466346,-24.2985156059047,NA,NA,NA
1916,9,1916-09-01,13.129519440407,12.8317364291257,NA,NA,NA
1916,10,1916-10-01,-49.7376226380814,-42.208749975186,NA,NA,NA
1916,11,1916-11-01,-64.8013035973837,-48.011198957842,NA,NA,NA
1916,12,1916-12-01,33.7270394258721,27.5091382593211,NA,NA,NA
1917,1,1917-01-01,26.6791541466346,23.5263992661334,NA,NA,NA
1917,2,1917-02-01,-0.0537034254807622,-0.0555337661844269,NA,NA,NA
1917,3,1917-03-01,14.0747220552885,12.3771558886793,NA,NA,NA
1917,4,1917-04-01,-9.75411658653846,-9.16272569192809,NA,NA,NA
1917,5,1917-05-01,30.33544921875,31.4310865572875,NA,NA,NA
1917,6,1917-06-01,154.762530048077,174.052493897768,NA,NA,NA
1917,7,1917-07-01,2.85223106971154,3.46910438688587,NA,NA,NA
1917,8,1917-08-01,103.992134915865,128.801437901236,NA,NA,NA
1917,9,1917-09-01,-45.400753997093,-44.3710458420414,NA,NA,NA
1917,10,1917-10-01,52.2623773619186,44.351328072707,NA,NA,NA
1917,11,1917-11-01,-74.7212254723837,-55.3608557756426,NA,NA,NA
1917,12,1917-12-01,-40.5932730741279,-33.1095162932668,NA,NA,NA
1918,1,1918-01-01,3.63911508413462,3.20907004675631,NA,NA,NA
1918,2,1918-02-01,8.52637469951924,8.8169738657273,NA,NA,NA
1918,3,1918-03-01,-56.5951998197115,-49.7691967179078,NA,NA,NA
1918,4,1918-04-01,11.0261568509615,10.3576423108336,NA,NA,NA
1918,5,1918-05-01,-59.62451171875,-61.777993635568,NA,NA,NA
1918,6,1918-06-01,7.74299879807693,8.70810428489408,NA,NA,NA
1918,7,1918-07-01,-11.7483548677885,-14.2892593252127,NA,NA,NA
1918,8,1918-08-01,12.8017052283654,15.8557956554623,NA,NA,NA
1918,9,1918-09-01,121.759402252907,118.997847908192,NA,NA,NA
1918,10,1918-10-01,50.2828851744186,42.6714751487345,NA,NA,NA
