"UnitCode","long","lat","ppt.max","year","ppt.max.ym","ppt.min","ppt.min.ym"
"ACAD",-68.26019,44.376559,205.8701171875,1993,1993-12-01,17.2998046875,1993-08-01
"ACAD",-68.26019,44.376559,176.349609375,1994,1994-03-01,32.1904296875,1994-02-01
"ACAD",-68.26019,44.376559,266.580078125,1995,1995-11-01,13.8798828125,1995-08-01
"ACAD",-68.26019,44.376559,254.330078125,1996,1996-12-01,17.16015625,1996-08-01
"ACAD",-68.26019,44.376559,158.25,1997,1997-01-01,36.080078125,1997-10-01
"ACAD",-68.26019,44.376559,233.8798828125,1998,1998-01-01,27.4501953125,1998-09-01
"ACAD",-68.26019,44.376559,212.25,1999,1999-09-01,8.8095703125,1999-04-01
"ACAD",-68.26019,44.376559,171.150390625,2000,2000-04-01,43.2197265625,2000-08-01
"ACAD",-68.26019,44.376559,120.26953125,2001,2001-03-01,22.830078125,2001-07-01
"ACAD",-68.26019,44.376559,187.6201171875,2002,2002-11-01,27.509765625,2002-08-01
"ACAD",-68.26019,44.376559,212.75,2003,2003-10-01,30.9599609375,2003-08-01
"ACAD",-68.26019,44.376559,136.240234375,2004,2004-11-01,17.58984375,2004-01-01
"ACAD",-68.26019,44.376559,366.2099609375,2005,2005-10-01,39.240234375,2005-07-01
"ACAD",-68.26019,44.376559,280.8701171875,2006,2006-06-01,35.8095703125,2006-03-01
"ACAD",-68.26019,44.376559,236.150390625,2007,2007-04-01,65.6796875,2007-02-01
"ACAD",-68.26019,44.376559,267.08984375,2008,2008-09-01,33.830078125,2008-05-01
"ACAD",-68.26019,44.376559,243.7900390625,2009,2009-06-01,63.669921875,2009-09-01
"ACAD",-68.26019,44.376559,204.400390625,2010,2010-10-01,45.509765625,2010-04-01
"ACAD",-68.26019,44.376559,193.98046875,2011,2011-10-01,46.650390625,2011-07-01
"ACAD",-68.26019,44.376559,188.4599609375,2012,2012-06-01,32.41015625,2012-11-01
"ACAD",-68.26019,44.376559,156.7900390625,2013,2013-06-01,26.6396484375,2013-10-01
"ACAD",-68.26019,44.376559,219.580078125,2014,2014-12-01,36.8095703125,2014-09-01
"ACAD",-68.26019,44.376559,192.3203125,2015,2015-10-01,43.4296875,2015-07-01
"ACAD",-68.26019,44.376559,159.4697265625,2016,2016-11-01,48.6201171875,2016-09-01
"ACAD",-68.26019,44.376559,181.5498046875,2017,2017-05-01,39.1103515625,2017-07-01
"ACAD",-68.26019,44.376559,219.990234375,2018,2018-11-01,41.2998046875,2018-05-01
"ACAD",-68.26019,44.376559,193.4404296875,2019,2019-01-01,68.4599609375,2019-09-01
"ACAD",-68.26019,44.376559,184.0703125,2020,2020-12-01,17.3203125,2020-09-01
"ACAD",-68.26019,44.376559,248.349609375,2021,2021-09-01,46.8798828125,2021-06-01
"ACAD",-68.26019,44.376559,238.580078125,2022,2022-10-01,43.900390625,2022-05-01
"ACAD",-68.26019,44.376559,234.1904296875,2023,2023-12-01,39.3203125,2023-02-01
"ACAD",-68.26019,44.376559,303.6904296875,2024,2024-03-01,49.73046875,2024-02-01
